City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Port Macquarie,AU,2022-04-09 17:35:28,-31.4333,152.9167,62.89,89,38,3.89
277,Oster,UA,2022-04-09 17:35:28,50.9506,30.8823,49.37,89,100,6.06
278,Kendari,ID,2022-04-09 17:35:29,-3.945,122.4989,74.68,93,81,4.09
279,Smithers,CA,2022-04-09 17:36:29,54.7804,-127.1743,34.12,60,40,2.3
280,Ciudad Bolivar,VE,2022-04-09 17:36:30,8.1222,-63.5497,97.39,29,48,9.01
281,La Asuncion,VE,2022-04-09 17:35:09,11.0333,-63.8628,87.53,55,71,18.41
282,Westport,US,2022-04-09 17:31:38,41.1415,-73.3579,56.89,77,75,17.27
283,Randazzo,IT,2022-04-09 17:36:32,37.8774,14.9501,56.28,66,90,4.85
284,Severobaykalsk,RU,2022-04-09 17:36:32,55.65,109.3167,19.99,86,100,6.22
285,Bubaque,GW,2022-04-09 17:36:33,11.2833,-15.8333,76.87,76,45,18.39
286,Pisco,PE,2022-04-09 17:36:33,-13.7,-76.2167,74.01,83,75,10.36
287,Nosy Varika,MG,2022-04-09 17:36:34,-20.5833,48.5333,75.94,79,52,5.21
288,Cabo San Lucas,MX,2022-04-09 17:34:33,22.8909,-109.9124,80.62,69,0,16.11
289,Kurchum,KZ,2022-04-09 17:36:34,48.5722,83.6542,36.43,67,0,7.94
290,Clinton,US,2022-04-09 17:34:57,42.587,-82.9199,41.95,69,100,12.66
291,Codrington,AU,2022-04-09 17:36:34,-38.2667,141.9667,62.96,76,44,12.68
